nama_usaha,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,status_legalitas,tahun_berdiri,biaya_karyawan,jumlah_pelanggan
UD. Damar Panji,Kesehatan,94.0,52.0,15.166762803419493,15.033690067461153,Lazada,195.0,Belum Terdaftar,2008,19.897729470623826,5.278114659230517
UD. Qayla Sukarela,Kesehatan,21.0,29.0,15.466329828445678,17.4218780792091,Tokopedia,58.0,Terdaftar,2015,18.826145858727198,4.07753744390572
UD. Kinan Buana,Perdagangan,53.0,74.0,15.977394732883425,16.929805341083693,Website Sendiri,218.0,Belum Terdaftar,2004,19.758309935715648,5.389071729816501
UD. Lidya Pamungkas,Jasa,78.0,13.0,15.92986595543371,17.030178301263593,Tokopedia,190.0,Belum Terdaftar,2000,19.424982356812237,5.25227342804663
UD. Farid Agastya,Pendidikan,52.0,9.0,14.176759724178572,15.176630177788425,Bukalapak,788.0,Belum Terdaftar,2008,19.024996716270177,6.670766320845874
UD. Yumna Sentosa,Perdagangan,98.0,16.0,15.008945634953502,15.752716218354086,Shopee,399.0,Belum Terdaftar,2024,19.650321297950857,5.991464547107982
UD. Yusuf Suryaputra,Fashion,18.0,74.0,15.627038993791276,16.785599585969532,Tokopedia,964.0,Belum Terdaftar,2017,19.435911427304614,6.872128101338986
UD. Krisna Trisula,Fashion,33.0,14.0,15.93338391997249,16.81340693814938,Tokopedia,956.0,Terdaftar,2017,18.76427045543464,6.863803391452954
UD. Heri Wiyata,Makanan & Minuman,81.0,75.0,15.003833438572597,15.937600105989558,Shopee,186.0,Terdaftar,2012,19.963978856018674,5.231108616854587
UD. Anang Baswara,Makanan & Minuman,13.0,2.0,15.486332709514874,17.67910811070767,Lazada,608.0,Terdaftar,2008,17.622173069956816,6.411818267709897
UD. Gilang Galang,Makanan & Minuman,21.0,21.0,15.565317358979197,17.548183260049804,Lazada,505.0,Terdaftar,2020,18.65179247285226,6.226536669287466
UD. Sekar Trijaya,Fashion,87.0,55.0,14.263280720315764,15.100112667112763,Website Sendiri,122.0,Terdaftar,2006,19.869949906581063,4.812184355372417
UD. Diyan Prawira,Perdagangan,12.0,58.0,14.245579819465858,17.200232867871403,Website Sendiri,768.0,Terdaftar,2004,19.162618093443648,6.645090969505644
UD. Fajar Darussalam Lukita,Jasa,63.0,25.0,15.269388798407697,16.478293412482255,Website Sendiri,130.0,Belum Terdaftar,2023,19.39145966489847,4.875197323201151
UD. Sani Segar,Makanan & Minuman,71.0,86.0,15.340662974815976,17.679862899348816,Shopee,822.0,Terdaftar,2022,19.970368654103833,6.71295620067707
UD. Nazar Baruna,Perdagangan,41.0,79.0,15.952235026565317,16.790627896389392,Lazada,58.0,Belum Terdaftar,2000,19.701614592192207,4.07753744390572
UD. Lutfi Reswara,Makanan & Minuman,62.0,54.0,14.62813045697339,16.868103673310266,Website Sendiri,227.0,Terdaftar,2023,19.667713040612313,5.429345628954441
UD. Ujang Wibawa,Perdagangan,41.0,63.0,15.919386020240008,16.218638389744275,Shopee,786.0,Belum Terdaftar,2022,19.558513748978886,6.668228248417403
UD. Jafar Sanjaya,Jasa,90.0,2.0,15.326848863757867,16.52483594567034,Website Sendiri,785.0,Terdaftar,2020,19.435911427304614,6.666956792429207
UD. Xenia Nirbayu,Makanan & Minuman,33.0,29.0,15.470719032535868,16.865941221980407,Tokopedia,442.0,Terdaftar,2012,19.04125723705382,6.093569770045136
UD. Jihan Gatra,Jasa,28.0,57.0,14.603462335997879,15.033690067461153,Website Sendiri,189.0,Belum Terdaftar,2017,19.35677410704427,5.247024072160486
UD. Dewi Mandiri,Pendidikan,25.0,12.0,15.441292968389138,17.61851897975241,Shopee,503.0,Belum Terdaftar,2001,18.525040768285617,6.222576268071369
UD. Fikri Jaladara,Kesehatan,22.0,71.0,15.958067968666883,17.26267074550334,Lazada,803.0,Belum Terdaftar,2008,19.44672234336987,6.6895992691789665
UD. Lukman Wangi,Perdagangan,35.0,23.0,14.66981268822434,16.780921861900943,Shopee,765.0,Terdaftar,2022,18.974565862925928,6.641182169740591
UD. Jasmin Prajurit,Perdagangan,8.0,68.0,16.021414802216366,17.656033179293214,Lazada,405.0,Terdaftar,2005,19.24485619130468,6.0063531596017325
UD. Ony Mayang,Kesehatan,84.0,6.0,15.547695520478644,17.33982602228116,Shopee,618.0,Terdaftar,2020,19.413932520666354,6.428105272684596
UD. Gema Prana,Jasa,41.0,50.0,16.068205687231004,15.033690067461153,Shopee,502.0,Terdaftar,2024,19.424982356812237,6.220590170099739
UD. Celsi Cahyaningrat,Kesehatan,99.0,53.0,15.098470405253474,15.598345320207146,Lazada,329.0,Terdaftar,2018,19.93800336967164,5.799092654460526
UD. Ucup Tirtayasa,Makanan & Minuman,66.0,50.0,16.068205687231004,17.510709005122592,Tokopedia,720.0,Terdaftar,2023,19.667713040612313,6.580639137284949
UD. Hilmiyah Tunggul,Jasa,6.0,26.0,15.034532651529933,15.20187316675524,Shopee,384.0,Belum Terdaftar,2021,18.379858759848776,5.953243334287785
UD. Cipta Nawasena Qira,Perdagangan,22.0,11.0,15.103572273032356,15.901897424937733,Shopee,857.0,Terdaftar,2014,18.410630418199872,6.754604099487962
UD. Ony Nawasena,Pendidikan,31.0,40.0,16.043734000477127,17.170096161051287,Bukalapak,675.0,Belum Terdaftar,2008,19.176802728368536,6.516193076042964
UD. Livia Wijaya,Jasa,22.0,88.0,13.805589506682455,16.911365141701467,Website Sendiri,98.0,Terdaftar,2013,19.6146032154551,4.59511985013459
UD. Carissa Rejo,Pendidikan,15.0,32.0,14.354228353195523,17.679862899348816,Bukalapak,385.0,Terdaftar,2008,18.76427045543464,5.955837369464831
UD. Qisya Berkarya Pandu,Perdagangan,68.0,78.0,14.87215470943036,16.887628799924357,Shopee,556.0,Belum Terdaftar,2020,19.897729470623826,6.322565239927284
UD. Ujang Kusumah Erlangga,Jasa,12.0,30.0,15.538557830598208,16.51798960228518,Shopee,628.0,Belum Terdaftar,2022,18.65179247285226,6.444131256700441
UD. Nina Sanjaya,Pendidikan,9.0,10.0,14.091567570486676,16.1819507198456,Shopee,358.0,Terdaftar,2021,17.858561843342684,5.883322388488279
UD. Jihan Prima,Jasa,58.0,35.0,15.992950934501211,17.401817412124934,Tokopedia,443.0,Belum Terdaftar,2001,19.44672234336987,6.095824562432225
UD. Mira Kelana,Kesehatan,1.0,5.0,15.952290504229197,17.264343278511593,Bukalapak,243.0,Belum Terdaftar,2007,16.705882371415992,5.497168225293202
UD. Jaya Ayodya,Jasa,79.0,44.0,16.068205687231004,17.137544811675873,Website Sendiri,869.0,Terdaftar,2014,19.509242700133978,6.76849321164863
UD. Niken Arya,Perdagangan,51.0,59.0,15.547953226887737,16.843670379050067,Tokopedia,153.0,Belum Terdaftar,2023,19.6146032154551,5.0369526024136295
UD. Sekar Siang,Kesehatan,0.0,89.0,15.336348049729128,16.43905344429454,Lazada,604.0,Terdaftar,2011,19.402759220109843,6.405228458030842
UD. Hanafi Bagaskara,Perdagangan,69.0,71.0,14.058897423771521,16.8621342626696,Shopee,689.0,Terdaftar,2008,19.85576527162264,6.536691597591305
UD. Gema Wijaksana,Perdagangan,53.0,36.0,15.166048976674503,17.08525662974806,Tokopedia,783.0,Belum Terdaftar,2010,19.402759220109843,6.664409020350408
UD. Eddy Wira,Perdagangan,18.0,29.0,15.329615070324461,17.345596282458327,Lazada,612.0,Terdaftar,2016,18.76427045543464,6.418364935936212
UD. Marsel Gandewa,Jasa,96.0,37.0,14.710043905248481,17.553318380982642,Shopee,76.0,Terdaftar,2013,19.804471977360404,4.343805421853684
UD. Niken Ananta,Perdagangan,27.0,15.0,14.189240042941195,17.59498956884422,Tokopedia,501.0,Terdaftar,2005,18.65179247285226,6.502790045915623
UD. Qyla Prana Balqis,Jasa,4.0,78.0,15.295150442942536,17.679862899348816,Shopee,809.0,Terdaftar,2019,19.320842097961677,6.697034247666484
UD. Qanita Mandiri,Perdagangan,29.0,52.0,16.01948883320942,16.337659763719035,Shopee,684.0,Terdaftar,2002,19.30857200542005,6.529418838262226
UD. Tania Madani,Pendidikan,80.0,7.0,15.74859249045159,16.94127524735684,Website Sendiri,105.0,Terdaftar,2024,19.380030969118383,4.663439094112067
UD. Wulan Sukma Fikri,Kesehatan,18.0,98.0,15.764709720850268,17.453400987185475,Website Sendiri,574.0,Terdaftar,2012,19.667713040612313,6.354370040797351
UD. Chiko Tejakencana Pandu,Makanan & Minuman,41.0,8.0,15.763009586938235,17.53095029412183,Shopee,901.0,Terdaftar,2015,18.80594315154573,6.804614520062624
UD. Candra Kalbu,Perdagangan,24.0,20.0,15.564442028935726,17.37563092813785,Tokopedia,920.0,Terdaftar,2011,18.6983124881264,6.825460036255307
UD. Delia Paseban,Jasa,34.0,40.0,16.068205687231004,17.387328584749902,Lazada,942.0,Belum Terdaftar,2021,19.218187944341057,6.849066282633458
UD. Taufan Jatiwangi,Perdagangan,8.0,68.0,15.606533089053443,15.995558796288167,Lazada,418.0,Terdaftar,2012,19.24485619130468,6.037870919922137
UD. Kamil Nirmala,Perdagangan,95.0,18.0,13.805589506682455,15.033690067461153,Website Sendiri,606.0,Terdaftar,2021,19.641510668294575,6.408528791059498
UD. Damar Wibawa,Makanan & Minuman,38.0,79.0,14.791538930167768,16.31303361841784,Website Sendiri,983.0,Terdaftar,2018,19.676296784279142,6.891625897052253
UD. Berlian Cempaka,Perdagangan,55.0,17.0,15.942590886947801,16.255037882552443,Tokopedia,416.0,Terdaftar,2020,19.190788970278067,6.0330862217988015
UD. Riko Wening,Fashion,37.0,75.0,15.60457306031107,17.07512870697913,Bukalapak,64.0,Terdaftar,2008,19.632621720903668,4.174387269895637
UD. Fani Manik,Fashion,14.0,79.0,13.805589506682455,17.327306263983314,Website Sendiri,16.0,Terdaftar,2023,19.44672234336987,2.833213344056216
UD. Xenia Paningrat Najwa,Jasa,45.0,4.0,14.911731990813013,16.93025897325342,Website Sendiri,270.0,unknown,2009,18.80594315154573,5.602118820879701
UD. Wira Gatra,Jasa,36.0,66.0,15.107177156380315,16.986445525899526,Shopee,983.0,Terdaftar,2018,19.53909566318463,6.891625897052253
UD. Jay Wiyata,Perdagangan,89.0,70.0,16.068205687231004,15.89314496776445,Bukalapak,860.0,Terdaftar,2016,19.98302705094905,6.7580945044277305
UD. Lono Senopati,Perdagangan,59.0,31.0,15.200621469083378,17.058563857884238,Bukalapak,628.0,Terdaftar,2021,19.413932520666354,6.444131256700441
UD. Via Wijapranata Yusuf,Makanan & Minuman,61.0,94.0,15.672293430755415,17.608710814921942,Website Sendiri,720.0,Belum Terdaftar,2006,19.95754796570217,6.580639137284949
UD. Pasha Atma,Makanan & Minuman,29.0,87.0,15.639805301491561,16.521850430621615,Tokopedia,589.0,Terdaftar,2023,19.667713040612313,6.380122536899765
UD. Vidi Warna,Pendidikan,65.0,47.0,15.33745013850181,15.24915523764943,Lazada,15.0,Belum Terdaftar,2016,19.509242700133978,2.772588722239781
UD. Gusti Sanjaya,Pendidikan,6.0,32.0,14.21312425760641,17.058563857884238,Website Sendiri,901.0,Belum Terdaftar,2013,18.5517090151307,6.804614520062624
UD. Pandu Adhi,Jasa,29.0,68.0,15.8828906519511,17.312819343819296,Lazada,878.0,Terdaftar,2003,19.488833828572194,6.778784897685177
UD. Zulkarnaen Agastya,Perdagangan,32.0,71.0,16.06789617918127,17.564629077224282,Lazada,915.0,Belum Terdaftar,2015,19.548851838098265,6.82001636467413
UD. Qanitah Nusa,Perdagangan,37.0,1.0,15.46385182550661,17.386617704489282,Lazada,827.0,Belum Terdaftar,2019,18.5517090151307,6.71901315438526
UD. Wira Kamajaya,Perdagangan,83.0,53.0,15.739252950723822,17.23044686027903,Website Sendiri,517.0,Terdaftar,2000,19.826777734819416,6.249975242259483
UD. Anisa Galuh,Kesehatan,18.0,41.0,16.055026662861295,17.630254196010263,Tokopedia,890.0,Belum Terdaftar,2005,18.99166029618782,6.792344427470809
UD. Iqra Abadi,Perdagangan,8.0,34.0,16.0632522730008,15.805752785409922,Bukalapak,261.0,Terdaftar,2016,18.65179247285226,5.568344503761097
UD. Ucup Jatiwangi,Kesehatan,85.0,60.0,15.55427370452762,17.679862899348816,Shopee,407.0,Belum Terdaftar,2017,19.89085659135181,6.0112671744041615
UD. Desi Tirta,Jasa,31.0,59.0,16.068205687231004,16.901703407343188,Bukalapak,534.0,Belum Terdaftar,2017,19.413932520666354,6.282266746896006
UD. Lukita Panji,Pendidikan,29.0,97.0,15.466329828445678,17.28919023155402,Shopee,633.0,Belum Terdaftar,2020,19.750404756229365,6.452048954437226
UD. Okta Tejakencana,Perdagangan,5.0,93.0,15.369267247327656,17.079984792100472,Bukalapak,883.0,Terdaftar,2024,19.499090328704316,6.784457062637643
UD. Farhan Sukarela Qomar,Perdagangan,60.0,48.0,15.865574137300046,17.035670837567192,Website Sendiri,265.0,Belum Terdaftar,2011,19.596254076843024,5.583496308781699
UD. Qamar Bahagia,Makanan & Minuman,80.0,22.0,15.411495990172837,17.636291971647438,Website Sendiri,895.0,Belum Terdaftar,2004,19.53909566318463,6.79794041297493
UD. Ina Sumirat,Jasa,36.0,67.0,15.617972715217876,16.2668812788836,Lazada,80.0,Terdaftar,2016,19.548851838098265,4.394449154672439
UD. Lidya Cinta,Perdagangan,78.0,34.0,15.008750975711166,17.283235543726214,Shopee,414.0,Terdaftar,2019,19.632621720903668,6.028278520230698
UD. Balqis Sehat,Jasa,70.0,13.0,15.294747525670303,17.108184538426574,Tokopedia,501.0,Terdaftar,2004,19.332963458445047,6.616065185132817
UD. Alya Sukarela,Pendidikan,77.0,21.0,15.86223454504304,15.771674245083265,Website Sendiri,404.0,Belum Terdaftar,2009,19.499090328704316,6.003887067106539
UD. Adinda Putra,Kesehatan,19.0,29.0,15.735085825214467,15.033690067461153,Shopee,15.0,Terdaftar,2003,18.78532386448472,2.772588722239781
UD. Salwa Malam,Pendidikan,29.0,2.0,15.279785579121116,16.0295900672886,Website Sendiri,429.0,Belum Terdaftar,2010,18.34811006187022,6.063785208687608
UD. Vega Putra,Jasa,17.0,74.0,14.778422245833218,17.267895735115832,Tokopedia,596.0,Belum Terdaftar,2018,19.424982356812237,6.391917113392602
UD. Cipta Citra,Jasa,62.0,9.0,15.950043559360955,17.66645677686493,Shopee,576.0,Belum Terdaftar,2008,19.176802728368536,6.3578422665081
UD. Farid Darma,Kesehatan,60.0,66.0,13.805589506682455,17.112617838871973,Lazada,43.0,Belum Terdaftar,2000,19.750404756229365,3.784189633918261
UD. Qais Sari,Perdagangan,56.0,40.0,14.421825618194427,17.445056083521255,Shopee,487.0,Terdaftar,2021,19.478471041572444,6.1903154058531475
UD. Pandu Mulya,Pendidikan,21.0,47.0,15.87404953013323,17.486737468694134,Tokopedia,722.0,Belum Terdaftar,2021,19.13363055671045,6.583409222158765
UD. Vita Kalbu,Perdagangan,88.0,49.0,15.872634530029973,17.619962094266175,Lazada,848.0,Terdaftar,2021,19.8341037748936,6.744059186311348
UD. Utha Mulya Tami,Perdagangan,87.0,68.0,15.915546692664396,17.510447528225857,Website Sendiri,951.0,Belum Terdaftar,2012,19.95754796570217,6.858565034791365
UD. Fitri Manunggal,Pendidikan,94.0,57.0,15.642797550703506,15.391543071480625,Lazada,814.0,Terdaftar,2014,19.931402685654813,6.703188113240863
UD. Rosa Nirbayu,Jasa,48.0,14.0,14.641491387782445,15.68332448466614,Website Sendiri,965.0,Terdaftar,2004,19.04125723705382,6.873163834212518
UD. Jodi Kinarya,Perdagangan,17.0,47.0,15.568545137764813,16.790688072441878,Tokopedia,923.0,Terdaftar,2015,19.07300593520039,6.828712071641684
UD. Marsel Indah,Kesehatan,97.0,5.0,15.858010976250641,16.812303119214548,Bukalapak,570.0,Belum Terdaftar,2018,19.53909566318463,6.3473892096560105
UD. Marsel Anggara,Perdagangan,60.0,3.0,14.968372998538252,17.30695913218571,Bukalapak,102.0,Belum Terdaftar,2008,19.05725757831492,4.634728988229636
UD. Fikri Saprahan,Kesehatan,81.0,22.0,15.682841677646158,17.679862899348816,Tokopedia,350.0,Belum Terdaftar,2021,19.548851838098265,5.860786223465865
UD. Lono Pagi,Pendidikan,77.0,44.0,15.691952263282404,16.977546788752342,Website Sendiri,919.0,Terdaftar,2018,19.709913394983946,6.824373670043086
UD. Gracia Wening,Perdagangan,67.0,64.0,14.33366307437672,17.24709174126819,Lazada,793.0,Belum Terdaftar,2004,19.789320172378066,6.677083461247136
UD. Zahira Sehat,Jasa,6.0,55.0,15.354602827185348,17.172817840505267,Website Sendiri,163.0,Belum Terdaftar,2009,19.024996716270177,5.099866427824199
UD. Fahmi Paseban,Perdagangan,6.0,97.0,15.987473622027922,16.047552256603247,Bukalapak,126.0,Belum Terdaftar,2000,19.548851838098265,4.844187086458591
UD. Lutfi Prajurit Lukita,Kesehatan,64.0,62.0,15.625584128883101,15.033690067461153,Lazada,232.0,Belum Terdaftar,2024,19.750404756229365,5.4510384535657
UD. Farhan Artha,Kesehatan,39.0,14.0,15.912774704263034,16.33060760661118,Shopee,316.0,Belum Terdaftar,2007,18.884414766473814,5.75890177387728
UD. Vidi Siang Pasha,Pendidikan,23.0,3.0,15.775888541343447,17.637859524663202,Bukalapak,514.0,Belum Terdaftar,2023,18.17221939747438,6.244166900663736
UD. Eni Lempung,Kesehatan,31.0,90.0,16.050403040907817,16.208732107732708,Tokopedia,596.0,Belum Terdaftar,2022,19.709913394983946,6.391917113392602
UD. Rian Trisaktiatma Elyas,Jasa,9.0,76.0,14.574549874361907,17.280949572947176,Lazada,361.0,Belum Terdaftar,2011,19.35677410704427,5.8916442118257715
UD. Mega Kencana Qiana,Jasa,8.0,31.0,15.368445418232632,15.033690067461153,Website Sendiri,867.0,Belum Terdaftar,2005,18.57768450130904,6.7661917146603505
UD. Mario Ayodya,Pendidikan,38.0,8.0,16.005895017161905,17.6697269771812,Shopee,328.0,Terdaftar,2001,18.742764250367856,5.796057750765372
UD. Oki Bima,Pendidikan,2.0,88.0,15.329123678203805,16.199261266396423,Bukalapak,938.0,Belum Terdaftar,2006,19.413932520666354,6.844815479208263
UD. Isna Sunardi,Makanan & Minuman,98.0,56.0,15.916636778299445,15.747624257898236,Lazada,69.0,Terdaftar,2002,19.951075451210514,4.248495242049359
UD. Rangga Gandewa,Perdagangan,68.0,66.0,15.350979596262382,17.414575446186817,Bukalapak,686.0,Belum Terdaftar,2004,19.811962649070857,6.532334292222349
UD. Vina Lingga,Jasa,6.0,38.0,15.50427412104796,17.518363575500356,Tokopedia,916.0,Terdaftar,2019,19.509242700133978,6.821107472256465
UD. Priska Utamaindah,Jasa,11.0,39.0,15.031645996669573,16.38955085197217,Bukalapak,669.0,Belum Terdaftar,2016,18.826145858727198,6.507277712385012
UD. Habib Wicaksana Heri,Perdagangan,22.0,15.0,14.510901718915923,17.13836340590563,Website Sendiri,726.0,Belum Terdaftar,2022,18.525040768285617,6.588926477533519
UD. Tasya Sejahtera,Perdagangan,88.0,80.0,15.5677192729148,17.275453055100403,Website Sendiri,427.0,Belum Terdaftar,2000,20.038086828019768,6.059123195581797
UD. Barokah Jayengprana,Perdagangan,62.0,90.0,15.130503313090973,16.496347412093016,Tokopedia,709.0,Terdaftar,2019,19.93800336967164,6.565264970035361
UD. Yani Raharja Ulil,Jasa,16.0,9.0,15.80511724037724,16.339274553613606,unknown,874.0,Belum Terdaftar,2007,18.132998684833918,6.774223886357614
UD. Vera Citra,Pendidikan,77.0,52.0,14.172343389438113,17.631696488803414,Shopee,323.0,Belum Terdaftar,2013,19.773935253578035,5.780743515792329
UD. Xenia Manunggal,Pendidikan,98.0,64.0,15.896438744040518,17.21399914080801,Lazada,692.0,Belum Terdaftar,2012,20.001719183922383,6.541029999189903
UD. Ulya Jayeng,Perdagangan,63.0,49.0,15.676544970004535,17.37953827063372,Bukalapak,205.0,Terdaftar,2011,19.632621720903668,5.327876168789581
UD. Pandu Bijaksana,Jasa,64.0,28.0,15.52497442253999,17.154230475273582,Tokopedia,575.0,Belum Terdaftar,2024,19.435911427304614,6.3561076606958915
UD. Agus Asmaralaya,Perdagangan,85.0,17.0,15.962684577168194,17.021443341886393,Lazada,465.0,Belum Terdaftar,2024,19.53909566318463,6.144185634125646
UD. Halimah Agastya,Perdagangan,27.0,51.0,13.805589506682455,16.995110234542693,Tokopedia,123.0,Terdaftar,2023,19.27083167759548,4.820281565605037
UD. Jay Kusen Umi,Pendidikan,57.0,31.0,15.566644714717782,16.752243765894168,Tokopedia,453.0,Belum Terdaftar,2004,19.39145966489847,6.118097198041348
UD. Qira Wiraatmaja,Kesehatan,86.0,32.0,15.23995486686507,16.69582165447664,Shopee,788.0,Belum Terdaftar,2021,19.68480747392291,6.670766320845874
UD. Cakra Bahagia Aldo,Perdagangan,17.0,85.0,15.852623893231025,16.631375640303453,Website Sendiri,203.0,Terdaftar,2001,19.53909566318463,5.318119993844216
UD. Ucup Pusaka,Perdagangan,43.0,10.0,14.428567988077523,15.254630027145865,Lazada,31.0,Terdaftar,2008,18.884414766473814,3.4657359027997265
UD. Wesly Hastinapura,Jasa,63.0,28.0,16.002705225725467,17.64133823879599,Shopee,13.0,Terdaftar,2001,19.424982356812237,2.6390573296152584
UD. Jasmine Saputra,Pendidikan,36.0,19.0,15.657773643199297,17.221454058962653,Website Sendiri,51.0,Belum Terdaftar,2000,18.92145603792546,3.9512437185814275
UD. Jafar Harmoni,Pendidikan,13.0,95.0,15.689740094136516,15.667125882995647,Shopee,573.0,Belum Terdaftar,2023,19.596254076843024,6.352629396319567
UD. Riyan Wirajaya,Perdagangan,6.0,71.0,15.592511148782748,17.43027554759572,Website Sendiri,565.0,Belum Terdaftar,2018,19.25792827281507,6.338594078203183
UD. Nisa Tunggal,Perdagangan,16.0,85.0,14.308497412801273,16.354402820429502,Website Sendiri,263.0,Terdaftar,2005,19.529243366773972,5.575949103146316
UD. Balqis Jagadmaya,Pendidikan,69.0,14.0,16.062582412486694,16.920793003297046,Shopee,891.0,Belum Terdaftar,2008,19.332963458445047,6.79346613258001
UD. Elva Manggala Tono,Jasa,82.0,34.0,15.24028834127448,17.34166373755653,Bukalapak,920.0,Terdaftar,2011,19.509242700133978,6.825460036255307
UD. Celsi Jagad Esa,Perdagangan,78.0,79.0,15.524049637140873,15.398354977278823,Shopee,597.0,Belum Terdaftar,2007,19.970368654103833,6.393590753950631
